"","Data","SP.CODE","species.dataset.code","cluster.all"
"1","Australia","AICA","Aira.caryophylla","M1"
"2","Australia","ARCA","Arctotheca.calendula","M2"
"3","Australia","AVBA","Avena.barbata","M1"
"4","Australia","BRMA","Briza.maxima","M1"
"5","Australia","BRRU","Bromus.rubens","M1"
"6","Australia","BRTO","Brassica.tournefortii","M2"
"7","Australia","EHLO","Ehrharta.longiflora","M1"
"8","Australia","HYPO","Hypochaeris.glabra","M2"
"9","Australia","LYAR","Lysimachia.arvensis","M3"
"10","Australia","OXAL","Oxalis.sp","M3"
"11","Australia","PALA","Parentucellia.latifolia","M3"
"12","Australia","PEAI","Pentaschistis.airoides","M1"
"13","Australia","PEDU","Petrorhagia.dubia","M3"
"14","Australia","URAN","Vulpia.myuros","M1"
"15","Australia","VUBR","Vulpia.bromoides","M1"
"16","Australia","VULP","Vulpia.sp","M1"
"17","Australia","ZADI","Zaluzianskya.divaricata","M3"
"18","Australia","AUEL","Austrostipa.elegantissima","M4"
"19","Australia","BLDR","Blennospora.drummondii","M5"
"20","Australia","BRIB","Brachyscome.iberidifolia","M6"
"21","Australia","CAER","Calandrinia.eremaea","M7"
"22","Australia","CEOB","Ceratogyne.obionoides","M6"
"23","Australia","CRAS","Crassula.sp","M7"
"24","Australia","CRAS","Crassula.colorata","M7"
"25","Australia","GNTE","Gnephosis.tenuissima","M6"
"26","Australia","GONO","Gonocarpus.nodulosus","M6"
"27","Australia","GOOD","Goodenia.sp","M6"
"28","Australia","HYDE","Hyalosperma.demissum","M5"
"29","Australia","HYPI","Hydrocotyle.pilifera","M5"
"30","Australia","LARO","Lawrencella.rosea","M2"
"31","Australia","LOGI","Lobelia.gibbosa","M6"
"32","Australia","NEAL","Neurachne.alopecuroidea","M4"
"33","Australia","NIRO","Nicotiana.rotundifolia","M7"
"34","Australia","PHSU","Phyllangium.sulcatum","M6"
"35","Australia","POAN","Podotheca.angustifolia","M6"
"36","Australia","POGN","Podotheca.gnaphalioides","M6"
"37","Australia","POLE","Podolepis.lessonii","M6"
"38","Australia","POMI","Poranthera.microphylla","M6"
"39","Australia","RHCI","Rhodanthe.citrina","M6"
"40","Australia","RHLA","Rhodanthe.laevis","M6"
"41","Australia","RHMA","Rhodanthe.manglesii","M6"
"42","Australia","THRE","Thysanotus.rectantherus","M5"
"43","Australia","TRCY","Trachymene.cyanopetala","M5"
"44","Australia","TRIS","Triglochin.isingiana","M6"
"45","Australia","TROR","Trachymene.ornata","M5"
"46","Australia","TRPI","Trachymene.pilosa","M5"
"47","Australia","WAAC","Waitzia.acuminata","M6"
"48","Australia","WAGR","Wahlenbergia.gracilenta","M6"
"49","Spain","BEMA","BEMA","G1"
"50","Spain","CETE","CETE","G1"
"51","Spain","CHFU","CHFU","G1"
"52","Spain","CHMI","CHMI","G1"
"53","Spain","COSQ","COSQ","G1"
"54","Spain","FRPU","FRPU","G1"
"55","Spain","HOMA","HOMA","G2"
"56","Spain","LEMA","LEMA","G1"
"57","Spain","LYTR","LYTR","G1"
"58","Spain","MEEL","MEEL","G1"
"59","Spain","MESU","MESU","G1"
"60","Spain","PAIN","PAIN","G2"
"61","Spain","PLCO","PLCO","G1"
"62","Spain","POMA","POMA","G2"
"63","Spain","POMO","POMO","G2"
"64","Spain","PUPA","PUPA","G1"
"65","Spain","SASO","SASO","G1"
"66","Spain","SCLA","SCLA","G1"
"67","Spain","SOAS","SOAS","G1"
"68","Spain","SPRU","SPRU","G1"
