"Model","beta","focal","coef","AIC","RMSE","likeli"
"Australia","F","Aira.caryophylla",16,986.900890672277,1.15088473888072,-476.450445336139
"Australia","T","Aira.caryophylla",73,1035.88899732227,1.0071452466568,-443.944498661133
"Australia","F","Hypochaeris.glabra",20,2255.1144171486,1.01450460238407,-1106.5572085743
"Australia","T","Hypochaeris.glabra",108,2299.87045893552,0.882016663190172,-1040.93522946776
"Australia","F","Podotheca.gnaphalioides",14,863.23020485506,0.948636960410496,-416.61510242753
"Australia","T","Podotheca.gnaphalioides",55,878.814925840038,0.798693782884376,-383.407462920019
"Australia","F","Trachymene.ornata",18,1895.48938426664,1.02321615052009,-928.744692133322
"Australia","T","Trachymene.ornata",87,1920.79119390526,1.01497694600207,-872.39559695263
"Australia","F","Ursinia.anthemoides",15,911.945230595256,1.04654469314161,-439.972615297628
"Australia","T","Ursinia.anthemoides",57,953.525658017512,0.952298472992055,-418.762829008756
"Australia","F","Waitzia.acuminata",19,2872.20740695983,1.14327934408764,-1416.10370347991
"Australia","T","Waitzia.acuminata",95,2937.59883087867,1.09573834095039,-1372.79941543933
"Spain","F","CETE",9,1410.61418336327,1.02894822517145,-695.307091681636
"Spain","T","CETE",36,1418.91030999838,0.955916761463781,-672.455154999188
"Spain","F","CHFU",11,1448.52381363294,1.06782208650187,-712.261906816468
"Spain","T","CHFU",41,1486.74793860487,1.08961164335379,-701.373969302436
"Spain","F","CHMI",7,385.401912937284,1.19514295427865,-184.700956468642
"Spain","T","CHMI",23,396.644913363887,1.18966777199644,-174.322456681944
"Spain","F","HOMA",8,1546.4112396702,1.17733085483449,-764.205619835101
"Spain","T","HOMA",29,1554.65019614551,1.10814545221467,-747.325098072755
"Spain","F","LEMA",11,2168.59666452062,1.03022337706997,-1072.29833226031
"Spain","T","LEMA",52,2201.55098148568,1.0516756408154,-1047.77549074284
"Spain","F","LYTR",8,815.290252627839,1.03620221190471,-398.645126313919
"Spain","T","LYTR",25,807.350596796459,1.12840726612735,-377.67529839823
"Spain","F","PAIN",7,1488.54954522664,1.00301200712935,-736.27477261332
"Spain","T","PAIN",22,1493.76028030587,1.00357556627805,-723.880140152936
"Spain","F","PLCO",6,700.721065833145,1.06616314927542,-343.360532916573
"Spain","T","PLCO",16,706.802595623545,1.03671741354311,-336.401297811772
"Spain","F","POMA",6,2301.53133861968,1.24440464842801,-1143.76566930984
"Spain","T","POMA",16,2272.20239004662,1.10428175384569,-1119.10119502331
"Spain","F","PUPA",9,2948.33303317832,1.15321536823876,-1464.16651658916
"Spain","T","PUPA",39,2974.11509386835,1.15649299491667,-1447.05754693417
"Spain","F","SASO",5,1040.05568602922,1.54002561387164,-514.027843014612
"Spain","T","SASO",14,903.978217828019,1.03695138965182,-436.989108914009
"Spain","F","SCLA",9,278.454442538018,1.03031330626685,-129.227221269009
"Spain","T","SCLA",24,296.994657332426,0.992246624772231,-123.497328666213
